[	0.0000000000000000e+00	-5.0000000000000000e-01	]
[	3.7037037037037035e-02	1.0000000000000000e+00	]
[	7.4074074074074070e-02	1.0000000000000000e+00	]
[	1.1111111111111110e-01	9.9999999999978217e-01	]
[	1.4814814814814814e-01	1.0000000000000000e+00	]
[	1.8518518518518517e-01	8.1049063560944845e-01	]
[	2.2222222222222221e-01	4.8178733336959656e-01	]
[	2.5925925925925924e-01	2.9831559848852768e-01	]
[	2.9629629629629628e-01	1.8934397536875947e-01	]
[	3.3333333333333331e-01	1.2190946639751166e-01	]
[	3.7037037037037035e-01	7.9123754046033154e-02	]
[	4.0740740740740738e-01	5.1607039887402555e-02	]
[	4.4444444444444442e-01	3.3702274187902385e-02	]
[	4.8148148148148145e-01	2.2062405813594727e-02	]
[	5.1851851851851849e-01	1.4452468094020659e-02	]
[	5.5555555555555558e-01	9.4689200433059548e-03	]
[	5.9259259259259256e-01	6.2108066966539022e-03	]
[	6.2962962962962965e-01	4.0728618037100739e-03	]
[	6.6666666666666663e-01	2.6562383753295144e-03	]
[	7.0370370370370372e-01	1.7451818228899996e-03	]
[	7.4074074074074070e-01	1.1431166804229988e-03	]
[	7.7777777777777779e-01	7.4686197193142285e-04	]
[	8.1481481481481477e-01	4.8360677705216429e-04	]
[	8.5185185185185186e-01	3.1626290525611485e-04	]
[	8.8888888888888884e-01	1.9918995385952973e-04	]
[	9.2592592592592593e-01	1.5297780604082306e-04	]
[	9.6296296296296291e-01	1.5767967859458361e-04	]
[	1.0000000000000000e+00	1.5767967859458361e-04	]
